Datum;Soupeř;Skutečná návštěvnost;Predikovaná návštěvnost;Rozdíl (chyba)
2025-07-27;Mlada Boleslav;17202;16254;948
2025-08-10;Sigma Olomouc;17434;16876;558
2025-08-24;Dukla Prague;17288;16284;1004
2025-08-31;Zlin;16936;16337;599
2025-09-20;Viktoria Plzeň;17752;17360;392
2025-10-05;Slavia Praha;18213;17139;1074
2025-10-28;Bohemians 1905;17560;15926;1634
2025-11-09;Teplice;16145;15465;680
2025-11-30;Pardubice;16193;14669;1524
2025-12-14;Slovan Liberec;16154;16617;-463
2026-02-15;Hradec Kralove;15893;14217;1676
2026-02-28;Banik Ostrava;18056;17168;888
2026-03-15;Slovacko;15323;14524;799
2026-04-05;Karvina;16645;16226;419
2026-04-18;Jablonec;17514;15739;1775
2025-05-04;Jablonec;13934;15589;-1655
2025-05-24;Sigma Olomouc;14541;17053;-2512
2024-07-19;Pardubice;16744;15831;913
2024-08-02;Dukla Prague;16826;15836;990
2024-08-24;Slovacko;16723;15677;1046
2024-12-03;Karvina;10788;14420;-3632
2024-09-27;Sigma Olomouc;16538;16766;-228
2024-10-19;Slovan Liberec;16746;16137;609
2024-11-02;Banik Ostrava;17610;17313;297
2024-11-23;Teplice;15879;14769;1110
2024-12-07;Bohemians 1905;14777;15632;-855
2024-12-15;Jablonec;15963;14717;1246
2025-02-09;Hradec Kralove;15099;14207;892
2025-02-22;C. Budejovice;14955;13314;1641
2025-03-08;Slavia Praha;18207;17649;558
2025-03-30;Viktoria Plzeň;17533;17701;-168
2025-04-13;Mlada Boleslav;16845;16246;599
2024-10-30;Zbrojovka Brno;13649;14051;-402
2025-02-25;Dukla Prague;10323;15067;-4744
2025-04-09;Teplice;11519;14962;-3443
2025-04-23;Viktoria Plzeň;15907;17528;-1621
2024-05-11;Slavia Praha;18199;17400;799
2024-05-14;Banik Ostrava;17057;17145;-88
2024-05-26;Viktoria Plzeň;17138;17243;-105
2023-07-23;Sigma Olomouc;17153;16180;973
2023-08-05;Pardubice;16911;15862;1049
2023-08-27;Karvina;16256;16417;-161
2023-09-17;Slovacko;17039;16002;1037
2023-09-30;Viktoria Plzeň;17791;17553;238
2023-10-22;C. Budejovice;16537;15935;602
2023-11-04;Bohemians 1905;17411;16793;618
2023-11-26;Zlin;16877;15061;1816
2023-12-09;Jablonec;16111;14237;1874
2023-12-17;Teplice;16530;15504;1026
2024-02-18;Slovan Liberec;16829;16311;518
2024-03-03;Slavia Praha;18283;17347;936
2024-03-17;Hradec Kralove;16666;14219;2447
2024-04-07;Mlada Boleslav;17009;16703;306
2024-04-20;Banik Ostrava;17706;17793;-87
2023-05-13;Slavia Praha;18113;17303;810
2023-05-20;Bohemians 1905;17155;16335;820
2023-05-27;Viktoria Plzeň;17593;17386;207
2022-07-31;Slovan Liberec;13275;16835;-3560
2022-08-14;Sigma Olomouc;14259;16884;-2625
2022-08-27;Bohemians 1905;17305;16457;848
2022-09-03;Zlin;12354;16046;-3692
2022-09-17;Banik Ostrava;15457;17886;-2429
2022-10-01;Hradec Kralove;10317;14736;-4419
2022-10-15;Pardubice;11671;14653;-2982
2022-11-09;Slovacko;10851;14519;-3668
2022-11-12;C. Budejovice;13269;14777;-1508
2023-02-05;Mlada Boleslav;10333;16943;-6610
2023-02-19;Jablonec;10917;15757;-4840
2023-03-04;Teplice;12122;14736;-2614
2023-04-02;Zbrojovka Brno;17288;15769;1519
2023-04-15;Slavia Praha;18305;17628;677
2023-04-26;Viktoria Plzeň;17668;17602;66
2023-04-05;C. Budejovice;11562;14019;-2457
2023-05-03;Slavia Praha;17037;17808;-771
2019-07-14;Slovacko;14155;9199;4956
2019-07-20;Jablonec;10867;11204;-337
2019-08-04;Pribram;11007;10123;884
2019-08-18;Banik Ostrava;14123;14346;-223
2019-09-01;Sigma Olomouc;9407;10773;-1366
2019-09-22;Slavia Praha;17292;14646;2646
2019-10-05;Karvina;7181;7807;-626
2019-10-26;Bohemians 1905;12157;10059;2098
2019-11-22;C. Budejovice;10057;7317;2740
2019-12-08;Mlada Boleslav;9573;10625;-1052
2020-02-15;Slovan Liberec;12236;11207;1029
2020-02-29;Zlin;9007;8384;623
2019-05-04;Banik Ostrava;11423;11932;-509
2019-05-11;Slovan Liberec;7267;10492;-3225
2019-05-19;Jablonec;7125;9783;-2658
2018-07-21;SFC Opava;12186;10030;2156
2018-08-05;Slovacko;9034;11018;-1984
2018-08-19;Pribram;11987;9916;2071
2018-08-31;Dukla Prague;9824;9726;98
2018-09-22;Slovan Liberec;11867;10297;1570
2018-10-22;Mlada Boleslav;9147;8965;182
2018-11-04;Slavia Praha;17398;15625;1773
2018-11-25;Jablonec;11604;7686;3918
2018-12-09;Teplice;6420;8122;-1702
2019-02-10;Bohemians 1905;11625;10169;1456
2019-02-24;Banik Ostrava;15225;12494;2731
2019-03-09;Viktoria Plzeň;16110;15947;163
2019-03-16;Sigma Olomouc;11307;11040;267
2019-04-08;Zlin;9325;9075;250
2019-04-21;Karvina;10425;9638;787
2017-07-30;Bohemians 1905;16724;11094;5630
2017-08-18;Slovacko;11696;9682;2014
2017-09-10;Karvina;9320;8679;641
2017-09-24;Teplice;7974;8541;-567
2017-10-15;Viktoria Plzeň;17134;15442;1692
2017-10-29;Banik Ostrava;9125;15727;-6602
2017-11-17;Jihlava;7165;7683;-518
2017-12-03;Mlada Boleslav;6234;10943;-4709
2018-02-18;Slovan Liberec;13811;10173;3638
2018-03-04;Zbrojovka Brno;7513;8494;-981
2018-03-17;Slavia Praha;17034;13405;3629
2018-04-07;Dukla Prague;11123;10805;318
2018-04-20;Jablonec;12289;9350;2939
2018-05-04;Zlin;9437;9137;300
2018-05-19;Sigma Olomouc;14297;10524;3773
2017-10-25;Banik Ostrava;4213;15293;-11080
2016-07-30;Slovacko;7181;11469;-4288
2016-08-21;Jablonec;8336;9732;-1396
2016-09-10;Mlada Boleslav;14091;11201;2890
2016-09-25;Slavia Praha;18397;15703;2694
2016-10-16;Jihlava;8447;8504;-57
2016-10-29;Pribram;7109;8130;-1021
2016-11-20;Karvina;7283;8077;-794
2016-12-03;Teplice;7522;8116;-594
2017-02-19;Bohemians 1905;11392;10155;1237
2017-03-04;Dukla Prague;8936;9026;-90
2017-03-17;Zlin;7842;8727;-885
2017-04-09;Zbrojovka Brno;8997;10363;-1366
2017-04-23;Viktoria Plzeň;16830;16202;628
2017-05-07;Slovan Liberec;9664;10237;-573
2017-05-20;Hradec Kralove;8234;9023;-789
2015-08-01;Banik Ostrava;11021;15605;-4584
2015-08-09;Zlin;7960;10640;-2680
2015-08-23;Dukla Prague;9142;10529;-1387
2015-09-20;Sigma Olomouc;7722;10552;-2830
2015-10-04;Slovacko;7108;8810;-1702
2015-10-25;Bohemians 1905;10681;9915;766
2015-11-08;Teplice;7766;8054;-288
2015-11-30;Zbrojovka Brno;5731;7616;-1885
2016-02-21;Mlada Boleslav;10120;10338;-218
2016-03-06;Jablonec;8935;8755;180
2016-03-20;Slavia Praha;18684;13657;5027
2016-04-10;Pribram;7204;8980;-1776
2016-04-24;Viktoria Plzeň;18371;13523;4848
2016-05-07;Slovan Liberec;8817;13077;-4260
2016-05-14;Jihlava;7111;9419;-2308
2025-10-02;Shamrock Rovers;17104;15645;1459
2025-11-06;Raków;17688;17645;43
2025-12-18;Aberdeen FC;14343;14284;59
2026-03-19;AZ Alkmaar;18102;16945;1157
2025-07-31;Aktobe;17235;16288;947
2025-08-07;Ararat-Armenia;17316;14846;2470
2025-08-21;Riga;17168;14866;2302
2024-09-18;Salzburg;17612;17692;-80
2024-11-06;Stade Brestois;18033;17131;902
2024-11-26;Atlético;18110;17537;573
2025-01-22;Inter;18010;16363;1647
2024-07-30;Shamrock Rovers;17367;13796;3571
2024-08-06;FCSB;17229;15694;1535
2024-08-27;Malmö;18215;17025;1190
2023-09-21;Aris Limassol;17371;15403;1968
2023-10-26;Rangers;18250;17034;1216
2023-11-30;Real Betis;18095;15467;2628
2024-02-22;Galatasaray;18250;17908;342
2024-03-07;Liverpool;18349;17876;473
2023-08-31;Dinamo Zagreb;17953;17605;348
2023-08-15;Copenhagen;18109;17487;622
2022-07-21;Viking FK;12667;17009;-4342
2018-08-02;Spartak;12068;12390;-322
2017-08-03;Red Star;16808;12970;3838
2016-09-29;Inter;14651;13585;1066
2016-11-03;H. Beer Sheva;12891;12540;351
2016-11-24;Southampton;17429;11913;5516
2017-02-23;Rostov;13413;11870;1543
2016-08-25;SönderjyskE;13685;12303;1382
2016-07-26;Steaua Bucharest;13257;13518;-261
2015-10-01;APOEL Nicosia;9130;12394;-3264
2015-11-05;FC Schalke 04;17352;11371;5981
2015-11-26;Asteras Tripoli;10140;11973;-1833
2016-02-18;Krasnodar;14120;12484;1636
2016-03-10;Lazio;17482;14423;3059
2016-04-14;Villarreal;18201;13700;4501
2015-08-20;FC Thun;12448;12977;-529
2015-08-05;CSKA Moscow;16580;14307;2273
2015-12-03;Pardubice;2528;8580;-6052
2016-03-30;Slovan Liberec;2907;10126;-7219
2016-05-04;Jablonec;2538;8205;-5667
